[2026-06-17 13:48:36] [DRONE] TEXT: "That's how I like it." | INTENT: GET_ALTITUDE | CONF: 0.85 | STATUS: ALT_QUERY_-0.1m
[2026-06-19 16:07:19] [DRONE] TEXT: "rotate right" | INTENT: ROTATE_RIGHT | CONF: 1.00 | STATUS: ROTATE_RIGHT_90.0DEG
[2026-06-19 16:07:46] [DRONE] TEXT: "rt" | INTENT: TAKEOFF | CONF: 0.90 | STATUS: ALTITUDE_INCREASE_BY_5.0M
[2026-06-19 16:08:03] [DRONE] TEXT: "return to home" | INTENT: RTL | CONF: 0.95 | STATUS: MODE_RTL
[2026-06-19 16:25:08] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 16:25:14] [DRONE] TEXT: "start mission" | INTENT: START_MISSION | CONF: 1.00 | STATUS: MISSION_START_REQUEST
[2026-06-19 16:26:52] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 16:27:02] [DRONE] TEXT: "mission start" | INTENT: START_MISSION | CONF: 0.95 | STATUS: MISSION_START_REQUEST
[2026-06-19 16:30:03] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 16:30:08] [DRONE] TEXT: "start mission" | INTENT: START_MISSION | CONF: 1.00 | STATUS: MISSION_START_REQUEST
[2026-06-19 16:35:13] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 16:35:18] [DRONE] TEXT: "start mission" | INTENT: START_MISSION | CONF: 1.00 | STATUS: MISSION_START_REQUEST
[2026-06-19 16:36:16] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 16:36:23] [DRONE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-19 16:36:33] [DRONE] TEXT: "sstart mission" | INTENT: START_MISSION | CONF: 0.96 | STATUS: MISSION_START_REQUEST
[2026-06-19 16:37:00] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 16:37:07] [DRONE] TEXT: "start mission" | INTENT: START_MISSION | CONF: 1.00 | STATUS: MISSION_START_REQUEST
[2026-06-19 16:46:46] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 16:46:51] [DRONE] TEXT: "start mission" | INTENT: START_MISSION | CONF: 1.00 | STATUS: MISSION_START_REQUEST
[2026-06-19 16:46:51] [DRONE] TEXT: "start mission" | INTENT: START_MISSION | CONF: 1.00 | STATUS: MISSION_START_ABORTED
[2026-06-19 16:47:06] [DRONE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 16:51:04] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARM_FAILED
[2026-06-19 16:51:18] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARM_FAILED
[2026-06-19 16:52:08] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARM_FAILED
[2026-06-19 16:52:23] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARM_FAILED
[2026-06-19 16:52:54] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 16:53:00] [DRONE] TEXT: "start mission" | INTENT: START_MISSION | CONF: 1.00 | STATUS: MISSION_START_REQUEST
[2026-06-19 16:53:00] [DRONE] TEXT: "start mission" | INTENT: START_MISSION | CONF: 1.00 | STATUS: AUTO_MISSION_ACTIVATED
[2026-06-19 16:54:13] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 16:54:26] [DRONE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-19 16:54:32] [DRONE] TEXT: "starstart mission" | INTENT: START_MISSION | CONF: 0.87 | STATUS: MISSION_START_REQUEST
[2026-06-19 16:54:34] [DRONE] TEXT: "starstart mission" | INTENT: START_MISSION | CONF: 0.87 | STATUS: MISSION_START_ABORTED
[2026-06-19 16:56:03] [DRONE] TEXT: "mission start" | INTENT: START_MISSION | CONF: 0.95 | STATUS: MISSION_START_REQUEST
[2026-06-19 16:56:05] [DRONE] TEXT: "mission start" | INTENT: START_MISSION | CONF: 0.95 | STATUS: MISSION_START_ABORTED
